term_ID,description,frequency,plot_X,plot_Y,plot_size,log10 p-value,uniqueness,dispensability,representative,eliminated
GO:0008152,"metabolic process",75.387%,-2.264,-2.764,6.986,-1.7050,0.995,0.000,8152,0
GO:0016072,"rRNA metabolic process",0.965%, 6.801, 0.029,5.093,-4.4563,0.748,0.000,16072,0
GO:0034470,"ncRNA processing",2.222%,null,null,5.455,-3.3194,0.710,0.773,16072,1
GO:0017038,"protein import",0.257%,-5.694, 2.821,4.518,-2.6329,0.700,0.000,17038,0
GO:0022613,"ribonucleoprotein complex biogenesis",1.614%, 2.797,-6.254,5.316,-6.8366,0.758,0.000,22613,0
GO:0042273,"ribosomal large subunit biogenesis",0.151%,null,null,4.287,-2.9652,0.757,0.755,22613,1
GO:0042274,"ribosomal small subunit biogenesis",0.255%,null,null,4.515,-1.1705,0.749,0.794,22613,1
GO:0001731,"formation of translation preinitiation complex",0.070%,null,null,3.954,-1.0696,0.604,0.863,22613,1
GO:0042254,"ribosome biogenesis",1.422%,null,null,5.261,-5.7323,0.719,0.715,22613,1
GO:0022618,"ribonucleoprotein complex assembly",0.364%,null,null,4.669,-2.1526,0.710,0.823,22613,1
GO:0006364,"rRNA processing",0.952%,null,null,5.087,-4.4563,0.568,0.912,22613,1
GO:0030490,"maturation of SSU-rRNA",0.104%,null,null,4.124,-1.1398,0.632,0.730,22613,1
GO:0034622,"cellular macromolecular complex assembly",1.211%,null,null,5.191,-1.0747,0.724,0.825,22613,1
GO:0000462,"maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)",0.066%,null,null,3.928,-1.1398,0.643,0.839,22613,1
GO:0071840,"cellular component organization or biogenesis",8.568%,-2.728,-6.733,6.041,-2.7311,0.981,0.000,71840,0
GO:0009056,"catabolic process",4.820%,-3.779,-4.323,5.791,-1.3751,0.959,0.018,9056,0
GO:0006457,"protein folding",0.903%,-1.087,-2.489,5.064,-1.1092,0.945,0.035,6457,0
GO:0006807,"nitrogen compound metabolic process",38.744%,-5.064,-4.010,6.696,-3.5648,0.952,0.035,6807,0
GO:1901575,"organic substance catabolic process",4.612%,-1.773, 0.136,5.772,-1.3751,0.894,0.058,1901575,0
GO:0009057,"macromolecule catabolic process",1.953%,null,null,5.399,-1.0044,0.862,0.823,1901575,1
GO:0044248,"cellular catabolic process",3.266%,null,null,5.622,-1.2081,0.877,0.888,1901575,1
GO:0044238,"primary metabolic process",53.743%,-3.748,-5.693,6.839,-1.8995,0.951,0.089,44238,0
GO:0044237,"cellular metabolic process",53.061%,-0.767, 5.817,6.833,-1.6812,0.908,0.111,44237,0
GO:0043170,"macromolecule metabolic process",39.491%, 0.361, 7.522,6.705,-1.7171,0.902,0.112,43170,0
GO:0071704,"organic substance metabolic process",58.357%,-2.764,-4.185,6.874,-1.8410,0.951,0.120,71704,0
GO:0006413,"translational initiation",0.518%, 5.090, 0.935,4.823,-1.8363,0.738,0.143,6413,0
GO:0010467,"gene expression",19.671%, 2.271, 4.566,6.402,-3.9351,0.856,0.179,10467,0
GO:0043603,"cellular amide metabolic process",6.879%, 5.779, 4.399,5.946,-4.3436,0.820,0.193,43603,0
