Term	PValue
GO:0022613	1.4566382251429e-07
GO:0042254	1.85236729287685e-06
GO:0006412	1.65864266827014e-05
GO:0043043	2.50640583039807e-05
GO:0006518	2.65773850092006e-05
GO:0006364	3.49669904640987e-05
GO:0016072	3.49669904640987e-05
GO:1901566	3.96459871586275e-05
GO:0043603	4.53310572200025e-05
GO:0043604	6.66592487948165e-05
GO:1901564	7.19632531010777e-05
GO:0010467	0.00011611077142462
GO:0006807	0.00027236681578774
GO:0034641	0.000402837804950738
GO:0034470	0.000479291505991595
GO:0034660	0.000555165577963926
GO:0042273	0.00108333629072926
GO:0006396	0.00169871317579145
GO:0071840	0.00185731743698429
GO:0044085	0.00214331211739671
GO:0017038	0.00232837244283498
GO:1902582	0.00257595837580693
GO:0065002	0.00514369786354413
GO:0044743	0.00514369786354413
GO:0071806	0.00514369786354413
GO:0071426	0.00600285224351095
GO:0071166	0.00600285224351095
GO:0071826	0.00703652150295251
GO:0007005	0.00703652150295251
GO:0022618	0.00703652150295251
GO:0044260	0.00814495874547805
GO:0006605	0.00934874337290968
GO:0072594	0.00934874337290968
GO:0044267	0.0109640856789984
GO:0044271	0.0125187817160632
GO:0044238	0.0126032789473441
GO:0051168	0.0134506813923112
GO:0006913	0.0134506813923112
GO:0051169	0.0134506813923112
GO:0000470	0.0141312321424846
GO:0071704	0.0144223196282387
GO:0006413	0.0145766384450853
GO:0006839	0.0145766384450853
GO:0070585	0.0150696729342581
GO:0000460	0.0150696729342581
GO:0072655	0.0150696729342581
GO:0006626	0.0150696729342581
GO:1990542	0.0150696729342581
GO:0019538	0.0162942875110637
GO:0043170	0.0191814606284313
GO:0008152	0.0197260670746291
GO:0044237	0.0208329868634637
GO:0033365	0.0323675169471406
GO:0006754	0.0366000678398514
GO:0015986	0.0366000678398514
GO:0015985	0.0366000678398514
GO:0006354	0.0366000678398514
GO:0051674	0.0378193069862379
GO:0048870	0.0378193069862379
GO:0000466	0.0378193069862379
GO:0016477	0.0378193069862379
GO:0000469	0.0378193069862379
GO:0046907	0.042081513333515
GO:0009056	0.0421565077033926
GO:1901575	0.0421565077033926
GO:1902600	0.0431838911405279
GO:0006818	0.0431838911405279
GO:0015992	0.0431838911405279
GO:0006886	0.0608050867796691
GO:0006417	0.0611433281217502
GO:0010608	0.0611433281217502
GO:0044248	0.0619300845265369
GO:1902580	0.0647412798537314
GO:0046034	0.0675009737572114
GO:0042274	0.0675341296482802
GO:0009124	0.0675341296482802
GO:0009156	0.0675341296482802
GO:0000462	0.072484059349142
GO:0030490	0.072484059349142
GO:0016070	0.0766401943487068
GO:0006457	0.0777628294888405
GO:0009127	0.0817443861381034
GO:0009168	0.0817443861381034
GO:0034622	0.0842050554050599
GO:0090501	0.0851954566736267
GO:0001731	0.0851954566736267
GO:0006446	0.0851954566736267
GO:0032543	0.0851954566736267
GO:0051649	0.0941806085875375
GO:0071428	0.097636845548224
GO:0033750	0.097636845548224
GO:0033753	0.097636845548224
GO:0000054	0.097636845548224
GO:0007006	0.097636845548224
GO:0030150	0.097636845548224
GO:0043933	0.0985085089284169
GO:0009057	0.0989886485391065
GO:0006403	0.0993933101218912
GO:0034248	0.0993933101218912
